Funcion   Algoritmo    D   Pro.Ite.         Mejor Optimo          Peor Optimo     Promedio Optimos   Desviacion Optimos Tiempo Promedio
Step      BHC         10    5000,00       164,0000000000       772,0000000000       446,4400000000       155,2972344261      0,010
Step      HC          10    4928,46         0,0000000000     32986,0000000000      2825,6200000000      7045,5678639924      0,010
Step      SAHC        10    5000,00      2647,0000000000     24425,0000000000      8838,7600000000      4761,2008370381      0,011
Step      SAHCWR      10    5000,00       776,0000000000     13907,0000000000      5204,3200000000      2943,8470279690      0,010
Step      RS          10    5000,00      2348,0000000000      8486,0000000000      5342,5600000000      1578,7527130553      0,009
Step      HCRR        10    5000,00      3841,0000000000     14119,0000000000      9840,9400000000      2196,8038138001      0,009
Step      SA          10    4073,68         0,0000000000         0,0000000000         0,0000000000         0,0000000000      0,007

Sphere    BHC         10    5000,00       204,7342266345       918,5355223164       500,7885437889       174,4373204950      0,007
Sphere    HC          10    5000,00         0,1130619774         0,3663809350         0,2147591625         0,0620094332      0,008
Sphere    SAHC        10    5000,00         0,2763150691      7723,6361135862      1489,3639725795      1618,1915025912      0,008
Sphere    SAHCWR      10    5000,00         0,4357000648      7723,6361135862      1489,3671602794      1618,1885095043      0,008
Sphere    RS          10    5000,00      2523,7118716222      8809,7507781936      5529,6021608007      1597,0566846132      0,007
Sphere    HCRR        10    5000,00      3961,1090640170     14134,4999734858      9874,4879041298      2173,8992509710      0,008
Sphere    SA          10    5000,00         0,6782084476         2,4183871143         1,6176592004         0,4235670382      0,009

Schwefel  BHC         10    5000,00       626,7185550323      4377,7326430517      1668,3657201269       766,1447535045      0,008
Schwefel  HC          10    5000,00         0,1196244422         0,5113116455         0,2903342406         0,0830029346      0,009
Schwefel  SAHC        10    5000,00       396,1855674672    171219,3084799780      7043,1519560892     23945,6240737122      0,009
Schwefel  SAHCWR      10    5000,00       396,1855674672    171219,3084799780      7043,1519560892     23945,6240737122      0,009
Schwefel  RS          10    5000,00      2648,9790020367      8426,4648196893      5444,5177487905      1314,4327330762      0,008
Schwefel  HCRR        10    5000,00      4094,9580173623     14206,3021654998      9247,1152630967      2354,0512706408      0,009
Schwefel  SA          10    5000,00         0,6327690028         2,9988013476         1,8257953360         0,5882349950      0,009

Rastrigin BHC         10    5000,00        14,0482602606        39,2307136052        26,7748858200         5,6380754911      0,010
Rastrigin HC          10    5000,00        52,7676074235       148,6203874033       106,9830255945        23,4732036357      0,010
Rastrigin SAHC        10    5000,00        62,4002844308       160,0936174183       107,9649511027        18,7098952225      0,011
Rastrigin SAHCWR      10    5000,00        33,7273979012        67,4393316802        50,1576011454         7,2714769558      0,010
Rastrigin RS          10    5000,00        58,3354534284        87,3375922164        77,5333146919         7,0359277308      0,009
Rastrigin HCRR        10    5000,00        59,4649714640        95,0943604184        77,2213556784         7,7330444054      0,010
Rastrigin SA          10    5000,00        33,1753818336        94,1355074944        69,8263525324        13,6219095027      0,011

Griewank  BHC         10    5000,00         2,8701864559         9,2777995047         5,5876339410         1,5377581117      0,012
Griewank  HC          10    5000,00        17,1071634536       145,9555248878        58,3324956606        24,1716849770      0,012
Griewank  SAHC        10    5000,00       126,6666155719       422,6859575650       233,5903439941        61,3781738200      0,012
Griewank  SAHCWR      10    5000,00       126,6666155719       422,6859575650       233,5903439941        61,3781738200      0,012
Griewank  RS          10    5000,00        23,8156467718        80,2768556883        50,7679713426        14,3704048806      0,011
Griewank  HCRR        10    5000,00        40,1908009817       132,0325341439        93,9399326098        20,1351322289      0,012
Griewank  SA          10    5000,00       151,4876055099       501,6423674889       287,5202973628        66,3929166307      0,012

Ackley    BHC         10    5000,00         6,1403084248        10,9257820612         8,6032024417         0,9837048879      0,010
Ackley    HC          10    5000,00        19,6507240836        20,5637980033        20,1564329681         0,2123270059      0,011
Ackley    SAHC        10    5000,00        19,6710629232        20,5119957092        20,1797435004         0,1987503386      0,011
Ackley    SAHCWR      10    5000,00        18,5994275339        20,5244478606        20,0004458168         0,3506224369      0,011
Ackley    RS          10    5000,00        14,3819003264        18,5202423418        17,0277086108         1,1215029834      0,010
Ackley    HCRR        10    5000,00        15,8629110601        19,3715203411        18,5276072809         0,6680737022      0,011
Ackley    SA          10    5000,00        17,4666216645        20,8734024614        19,9398315323         0,7298038812      0,011
